Solidaria
12/03/2019
001,00h: 02' : 09",Ana
002,00h: 03' : 41",Bernardo
003,00h: 01' : 14",Berta
004,00h: 02' : 45",Calos Jose
005,00h: 01' : 39",Carolina
006,00h: 03' : 04",Florentino
007,00h: 02' : 31",Jorge Luis
008,00h: 03' : 24",Marcos 
009,00h: 03' : 55",Sofia
001,00h: 02' : 29",Ana
002,00h: 03' : 37",Bernardo
003,00h: 01' : 13",Berta
004,00h: 01' : 45",Calos Jose
005,00h: 03' : 26",Carolina
006,00h: 04' : 02",Florentino
007,00h: 03' : 09",Jorge Luis
008,00h: 04' : 15",Marcial
009,00h: 02' : 05",Marcos 
010,00h: 03' : 51",Marino
